cabinet,type,name type,scientific name,common name,number,taxonomic classification,taxonomic classifivation
2.01-2.03,a,scientific,serpentes,snake,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Reptilia', 'Squamata', 'Serpentes', 'Alethinophidia', 'Scolecophidia']"
2.01-2.03,a,common,,moose,,,FIX
2.01-2.03,a,common,,gemsbok,,,FIX
2.01-2.03,a,common,,diamond dove,,,FIX
2.01-2.03,a,common,,pine grosbeak,,,FIX
2.01-2.03,a,common,,eurasian bullfinch,,,FIX
2.01-2.03,a,common,,wilson's snipe,,,FIX
2.01-2.03,a,common,,blue-winged teal,,,FIX
2.01-2.03,a,common,,green-winged teal,,,FIX
2.01-2.03,a,common,,ruffed grouse,,,FIX
2.01-2.03,a,common,,northern bobwhite,,,FIX
2.01-2.03,a,common,,ruffed grouse,,,FIX
2.01-2.03,a,common,,ruffed grouse,,,FIX
2.01-2.03,a,common,,northern bobwhite,,,FIX
2.01-2.03,a,common,,ruffed grouse,,,FIX
2.01-2.03,a,common,,nine-banded armadillo,,,FIX
2.01-2.03,a,common,,monitor lizard,,,FIX
2.01-2.03,a,common,,american alligator,,,FIX
2.01-2.03,a,common,,american alligator,,,FIX
2.01-2.03,a,common,,gibbon,,,"['Animalia', 'Bilateria', 'Protostomia', 'Spiralia', 'Platyhelminthes', 'Rhabditophora', 'Trepaxonemata', 'Euneoophora', 'Acentrosomata', 'Bothrioneodermata', 'Neodermata', 'Digenea', 'Plagiorchiida', 'Opecoelata', 'Opecoelidae', 'Pseudopecoelus', 'Pseudopecoelus gibbonsiae']"
2.01-2.03,a,common,,green sea turtle,,,FIX
2.01-2.03,a,common,,magnolia warbler,,,FIX
2.01-2.03,a,common,,american redstart,,,FIX
2.01-2.03,a,common,,yellow warbler,,,FIX
2.01-2.03,a,common,,yellow-rumped warbler,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,ruby-throated hummingbird,,,FIX
2.01-2.03,a,common,,snow bunting,,,FIX
2.01-2.03,a,common,,scarlet tanager,,,FIX
2.01-2.03,a,common,,chestnut-sided warbler,,,FIX
2.01-2.03,a,common,,baltimore oriole,,,FIX
2.01-2.03,a,common,,black-throated green warbler,,,FIX
2.01-2.03,a,common,,blackbird,,,FIX
2.01-2.03,a,common,,northern bobwhite,,,FIX
2.01-2.03,a,common,,bohemian waxwing,,,FIX
2.04-2.05,a,scientific,alca torda,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Aves', 'Charadriiformes', 'Alcidae', 'Alca', 'Alca torda', 'Alca torda islandica', 'Alca torda torda']"
2.04-2.05,a,scientific,aepyornis maximus,,,,FIX
